Motif_ID	Sequence_ID	Match_Start	Match_Score	P_Value
PHOX2A	rs8024019	10	13.68	7.04e-06
HLF	rs232777	7	13.67	7.09e-06
KLF2	rs5981124	7	13.67	7.15e-06
NFAT5	rs451761	9	13.66	7.31e-06
NEUROD2	rs1715140	7	13.65	7.35e-06
VEZF1	rs1145428	9	13.64	7.60e-06
ZNF263	rs7305430	8	13.63	7.66e-06
FOXA1	rs5581270	9	13.61	8.02e-06
BHLHE22(var.2)	rs31959	9	13.54	8.97e-06
KLF10	rs8014713	8	13.54	9.08e-06
KLF5	rs704	9	13.53	9.20e-06
KLF6	rs5981124	7	13.52	9.31e-06
NRF1	rs1326286	10	13.51	9.56e-06
NKX6-3	rs1025044	8	13.48	1.00e-05
TFAP2B(var.2)	rs805455	10	13.48	1.00e-05
SOX4	rs936822	10	13.47	1.03e-05
ZEB1	rs3232	7	13.42	1.11e-05
TFAP2B(var.2)	rs17704	10	13.42	1.12e-05
TBX21	rs602638	10	13.40	1.15e-05
Zic1::Zic2	rs15062602	10	13.40	1.15e-05
NFATC3	rs451761	9	13.39	1.18e-05
Ascl2	rs125011	8	13.38	1.20e-05
HMBOX1	rs5585738	8	13.38	1.20e-05
NFATC4	rs466443	8	13.38	1.21e-05
KLF5	rs53250	9	13.38	1.21e-05
ZNF384	rs34536	9	13.36	1.24e-05
HOXC10	rs7614192	10	13.35	1.27e-05
MSC	rs1111736	7	13.35	1.27e-05
FOXO6	rs147378	10	13.34	1.29e-05
FOXO6	rs141283	10	13.34	1.29e-05
HOXD11	rs7614192	10	13.33	1.32e-05
PHOX2A	rs644629	10	13.33	1.32e-05
FOXI1	rs147378	10	13.32	1.34e-05
FOXI1	rs141283	10	13.32	1.34e-05
KLF2	rs704	10	13.32	1.35e-05
Twist2	rs1076607	10	13.29	1.40e-05
ZNF384	rs210459	8	13.28	1.43e-05
NFAT5	rs1164953	10	13.28	1.43e-05
DBP	rs1084451	7	13.28	1.44e-05
SNAI3	rs79966	10	13.24	1.54e-05
NEUROG2(var.2)	rs423473	8	13.24	1.54e-05
Foxd3	rs474797	8	13.23	1.56e-05
Foxd3	rs1096524	9	13.23	1.56e-05
ASCL1	rs31959	9	13.23	1.58e-05
SOX4	rs1212821	10	13.22	1.59e-05
Nkx2-5(var.2)	rs1196079	7	13.22	1.61e-05
KLF11	rs6263709	10	13.22	1.61e-05
ZEB1	rs5570091	10	13.21	1.61e-05
STAT3	rs6647770	9	13.21	1.63e-05
LHX9	rs985720	10	13.21	1.63e-05
LHX9	rs3523367	8	13.21	1.63e-05
LBX1	rs691950	10	13.20	1.66e-05
MYOG	rs125011	7	13.19	1.67e-05
SIX1	rs8023448	8	13.19	1.69e-05
TBR1	rs602638	9	13.18	1.70e-05
ZNF384	rs654466	9	13.18	1.71e-05
FOXA2	rs5581270	9	13.15	1.79e-05
PRDM1	rs11164020	10	13.15	1.80e-05
NFIL3	rs232777	8	13.15	1.80e-05
FOXD1	rs141283	10	13.14	1.84e-05
Sox6	rs199076	9	13.14	1.85e-05
FOXC1	rs713052	10	13.12	1.89e-05
RORA	rs18484741	7	13.11	1.92e-05
HOXC9	rs282042	7	13.11	1.95e-05
mix-a	rs1003446	10	13.09	1.99e-05
ATOH1(var.2)	rs1111736	7	13.09	1.99e-05
RBPJ	rs8032039	9	13.08	2.03e-05
TFAP2E	rs805455	10	13.08	2.05e-05
PRRX2	rs985720	10	13.07	2.06e-05
PRRX2	rs3523367	8	13.07	2.06e-05
Mlxip	rs660979	7	13.06	2.12e-05
LHX2	rs750255	10	13.05	2.13e-05
Foxq1	rs1078746	9	13.02	2.24e-05
SNAI3	rs7895467	10	13.02	2.27e-05
NEUROG2(var.2)	rs1084299	8	13.01	2.28e-05
TBX5	rs1093910	7	13.01	2.29e-05
TBX5	rs5949062	9	13.01	2.29e-05
Spz1	rs712323	7	13.00	2.32e-05
TEAD3	rs713415	10	12.97	2.45e-05
TFAP4(var.2)	rs1233514	9	12.97	2.48e-05
SNAI1	rs7895467	10	12.96	2.51e-05
Tcf12	rs125011	8	12.96	2.52e-05
SNAI1	rs797861	9	12.93	2.63e-05
PITX2	rs702280	8	12.93	2.63e-05
Arid3b	rs1292002	10	12.93	2.64e-05
Arid3b	rs1090827	10	12.93	2.64e-05
GCM1	rs181956	8	12.92	2.70e-05
SOX4	rs14152172	10	12.91	2.72e-05
LHX2	rs7876102	10	12.89	2.82e-05
POU5F1	rs576292	10	12.88	2.86e-05
NFIA	rs1340662	7	12.88	2.89e-05
Smad4	rs1091414	8	12.87	2.90e-05
LHX6	rs1292002	8	12.86	2.96e-05
ZNF652	rs956011	7	12.86	2.96e-05
HOXB9	rs282042	7	12.86	2.96e-05
PITX3	rs438460	9	12.85	3.00e-05
Ascl2	rs776607	9	12.85	3.02e-05
BHLHE22(var.2)	rs11535187	10	12.84	3.09e-05
NR4A1	rs934906	7	12.83	3.11e-05
Ascl2	rs31959	9	12.83	3.12e-05
NRF1	rs1227747	10	12.83	3.12e-05
NHLH1	rs11535187	10	12.83	3.14e-05
Ptf1a(var.2)	rs125011	7	12.82	3.16e-05
SOX13	rs1278207	10	12.82	3.17e-05
Ptf1a(var.2)	rs11535187	9	12.82	3.19e-05
TEAD3	rs697832	8	12.81	3.22e-05
HOXC10	rs282042	7	12.81	3.23e-05
Atoh1	rs51006	7	12.81	3.25e-05
FOXO4	rs147378	10	12.80	3.26e-05
FOXO4	rs141283	10	12.80	3.26e-05
MNX1	rs3523367	9	12.78	3.41e-05
PITX2	rs438460	8	12.78	3.42e-05
PITX2	rs1040816	8	12.78	3.42e-05
ZEB1	rs7306994	8	12.76	3.54e-05
GSC	rs438460	9	12.74	3.65e-05
ZIC1	rs7457740	7	12.73	3.69e-05
HOXB9	rs7614192	10	12.73	3.72e-05
FOXK2	rs147378	8	12.71	3.81e-05
GATA1	rs11783409	10	12.71	3.85e-05
Gfi1b	rs936093	9	12.70	3.89e-05
MYF5	rs125011	7	12.70	3.90e-05
FOXC2	rs1297013	7	12.69	3.93e-05
DUX4	rs467840	7	12.68	4.03e-05
RBPJ	rs3471506	8	12.67	4.06e-05
LMX1A	rs985720	10	12.67	4.07e-05
LMX1A	rs3523367	8	12.67	4.07e-05
VEZF1	rs18175288	9	12.67	4.12e-05
LHX5	rs985720	10	12.66	4.15e-05
LHX5	rs3523367	8	12.66	4.15e-05
SOX9	rs707855	10	12.65	4.22e-05
SOX9	rs1078746	8	12.65	4.22e-05
SOX9	rs6051966	8	12.65	4.22e-05
POU2F1	rs1077079	8	12.65	4.25e-05
CLOCK	rs1233514	9	12.64	4.27e-05
SOX2	rs2840827	9	12.64	4.27e-05
BHLHE22(var.2)	rs125011	8	12.64	4.28e-05
TCF3	rs44879	10	12.64	4.29e-05
POU3F4	rs14936442	7	12.64	4.30e-05
ZBTB6	rs716798	8	12.64	4.30e-05
MYB	rs2864225	9	12.64	4.31e-05
SOX2	rs1278207	10	12.63	4.40e-05
NR4A1	rs6203340	8	12.62	4.42e-05
Foxf1	rs11520271	9	12.62	4.43e-05
MYF5	rs11535187	9	12.62	4.46e-05
TCF12(var.2)	rs44879	10	12.61	4.50e-05
TFAP2E	rs17704	10	12.61	4.53e-05
Stat4	rs1244043	7	12.61	4.54e-05
LMX1A	rs691950	10	12.60	4.58e-05
HAND2	rs1089660	10	12.59	4.68e-05
HAND2	rs1084299	10	12.59	4.69e-05
LIN54	rs23876	10	12.58	4.76e-05
LIN54	rs1078751	7	12.58	4.76e-05
LIN54	rs7934957	7	12.58	4.76e-05
Smad4	rs7543211	9	12.58	4.77e-05
PROP1	rs11462500	9	12.57	4.82e-05
PROP1	rs1090827	9	12.57	4.82e-05
PITX1	rs438460	8	12.56	4.89e-05
PITX1	rs1040816	8	12.56	4.89e-05
NR1H4	rs7330777	10	12.55	4.96e-05
FOXB1	rs704684	8	12.55	4.98e-05
Dux	rs5628144	7	12.55	5.00e-05
Dux	rs1715140	8	12.55	5.00e-05
HOXD11	rs282042	7	12.55	5.02e-05
FOXA3	rs147378	8	12.54	5.04e-05
CDX2	rs1250594	7	12.54	5.12e-05
NFATC4	rs290078	9	12.53	5.16e-05
SOX13	rs2840827	9	12.53	5.17e-05
Sox6	rs707855	10	12.51	5.32e-05
KLF5	rs7771949	9	12.51	5.37e-05
Znf281	rs381660	8	12.51	5.37e-05
POU3F1	rs8026839	7	12.50	5.39e-05
HOXA5	rs2899880	8	12.49	5.54e-05
BHLHE22(var.2)	rs79159	10	12.49	5.56e-05
VEZF1	rs3453644	10	12.48	5.60e-05
HOXC9	rs7614192	10	12.48	5.63e-05
RBPJ	rs81675	9	12.47	5.68e-05
ELF3	rs1179303	7	12.46	5.78e-05
Stat2	rs1040082	7	12.46	5.80e-05
PRDM4	rs56951154	10	12.45	5.91e-05
ATOH7	rs1715140	7	12.43	6.08e-05
VEZF1	rs1147775	10	12.43	6.10e-05
GATA5	rs3526154	10	12.41	6.25e-05
HMBOX1	rs673014	10	12.41	6.29e-05
Sox17	rs1161972	10	12.41	6.29e-05
FOXK1	rs147378	7	12.40	6.35e-05
Nr2e3	rs7568086	8	12.40	6.37e-05
Stat5a	rs1223690	8	12.40	6.41e-05
ASCL1	rs1111736	7	12.40	6.43e-05
TWIST1	rs1084299	8	12.39	6.44e-05
SOX15	rs1078746	8	12.39	6.47e-05
MYOG	rs11535187	9	12.39	6.48e-05
PITX2	rs224088	9	12.38	6.55e-05
PITX2	rs7130410	7	12.38	6.55e-05
PITX2	rs499696	10	12.38	6.55e-05
PITX2	rs5949062	8	12.38	6.55e-05
FOXC1	rs1075859	7	12.38	6.61e-05
Nkx3-1	rs938433	8	12.38	6.63e-05
EGR2	rs222997	8	12.38	6.63e-05
FOXL1	rs147378	10	12.36	6.79e-05
FOXL1	rs141283	10	12.36	6.79e-05
Spz1	rs2869010	8	12.35	6.94e-05
TCF3	rs7306994	8	12.35	6.97e-05
ZNF652	rs1690287	9	12.34	7.01e-05
RAX	rs3523367	9	12.34	7.01e-05
HOXB7	rs2899880	9	12.34	7.05e-05
GATA3	rs929547	9	12.34	7.08e-05
BHLHE22(var.2)	rs1274667	10	12.33	7.10e-05
GSC2	rs438460	9	12.33	7.19e-05
NKX6-3	rs1097443	7	12.32	7.22e-05
FOXK2	rs11520271	9	12.32	7.27e-05
BHLHE22(var.2)	rs1120258	7	12.31	7.34e-05
Stat4	rs7884064	7	12.31	7.36e-05
Foxo1	rs56951154	10	12.31	7.40e-05
BHLHE22(var.2)	rs1111736	7	12.31	7.45e-05
BHLHE22	rs1715140	7	12.30	7.53e-05
Esrrg	rs1781037	7	12.29	7.59e-05
BHLHE22(var.2)	rs776607	9	12.29	7.66e-05
PLAGL2	rs3545272	9	12.28	7.73e-05
Hic1	rs769509	9	12.28	7.77e-05
MEOX1	rs3523367	9	12.26	8.02e-05
POU5F1B	rs14936442	7	12.26	8.05e-05
Twist2	rs27793	7	12.25	8.08e-05
BHLHA15(var.2)	rs1111736	7	12.25	8.10e-05
IKZF1	rs247660	9	12.25	8.13e-05
POU6F2	rs1025044	10	12.24	8.30e-05
ARGFX	rs1075039	10	12.24	8.32e-05
TEAD4	rs713415	8	12.23	8.34e-05
NFATC1	rs451761	9	12.23	8.35e-05
FOXC1	rs11520271	8	12.23	8.35e-05
Arid3b	rs380615	10	12.23	8.40e-05
LHX6	rs3523367	9	12.23	8.46e-05
HOXD3	rs1145428	10	12.22	8.49e-05
HOXD3	rs655692	7	12.22	8.49e-05
ISX	rs985720	10	12.22	8.49e-05
ISX	rs3523367	8	12.22	8.49e-05
STAT3	rs435814	7	12.22	8.53e-05
TBX18	rs5949062	7	12.22	8.59e-05
OLIG2	rs1715140	7	12.22	8.60e-05
Ddit3::Cebpa	rs1184287	8	12.22	8.60e-05
TCF12(var.2)	rs7306994	8	12.21	8.65e-05
MXI1	rs3061	7	12.21	8.65e-05
PRDM4	rs1094255	8	12.20	8.79e-05
HOXA2	rs2899880	8	12.20	8.81e-05
TBX1	rs602638	9	12.19	8.97e-05
MXI1	rs1233514	9	12.19	8.99e-05
SOX10	rs607062	10	12.19	8.99e-05
PRDM1	rs671290	10	12.17	9.19e-05
NKX6-1	rs985720	10	12.17	9.19e-05
NKX6-1	rs3523367	8	12.17	9.19e-05
MXI1	rs1080867	7	12.17	9.20e-05
SOX8	rs1170911	10	12.15	9.53e-05
NFATC4	rs702971	7	12.15	9.58e-05
ETV4	rs110861	9	12.15	9.62e-05
ZBTB14	rs100117	9	12.15	9.63e-05
NOTO	rs3523367	9	12.14	9.67e-05
MSX2	rs750255	8	12.14	9.74e-05
BHLHE22(var.2)	rs7467781	9	12.14	9.76e-05
LHX6	rs1075039	10	12.14	9.77e-05
Foxf1	rs147378	8	12.13	9.84e-05
TFEB	rs769509	8	12.13	9.86e-05
FOXP1	rs147378	8	12.13	9.91e-05
TFAP2B	rs17704	9	12.12	9.98e-05
NFIA	rs769509	10	12.12	9.99e-05
INSM1	rs1040472	7	12.12	1.00e-04
LMX1A	rs1003446	8	12.12	1.01e-04
POU4F1	rs5820213	7	12.12	1.01e-04
MXI1	rs958158	9	12.11	1.02e-04
Lhx4	rs1292002	9	12.11	1.02e-04
Lhx4	rs1090827	7	12.11	1.02e-04
ISL2	rs53317226	7	12.10	1.04e-04
ISL2	rs938433	7	12.10	1.04e-04
Nkx2-5(var.2)	rs202815	10	12.09	1.05e-04
RBPJ	rs935675	9	12.09	1.05e-04
CDX4	rs685327	10	12.09	1.05e-04
KLF4	rs5981124	7	12.09	1.05e-04
ZNF317	rs235170	7	12.08	1.06e-04
NFATC2	rs451761	10	12.08	1.06e-04
NFATC2	rs1164953	9	12.08	1.06e-04
NFATC2	rs2840827	8	12.08	1.06e-04
NFATC2	rs483423	7	12.08	1.06e-04
NFATC2	rs773026	9	12.08	1.06e-04
POU2F2	rs145951	8	12.08	1.06e-04
OLIG1	rs1715140	7	12.08	1.07e-04
FOXP1	rs11520271	9	12.07	1.08e-04
VSX2	rs985720	10	12.07	1.08e-04
VSX2	rs3523367	8	12.07	1.08e-04
Nobox	rs1260358	10	12.07	1.08e-04
Nobox	rs7774137	7	12.07	1.08e-04
HOXB5	rs2899880	8	12.06	1.10e-04
LBX1	rs75327	9	12.06	1.10e-04
LBX1	rs1163439	10	12.06	1.10e-04
Mlxip	rs1694048	7	12.06	1.10e-04
Mlxip	rs1271431	7	12.06	1.10e-04
Dux	rs1316610	7	12.06	1.11e-04
Dux	rs786176	7	12.06	1.11e-04
HOXB4	rs1097443	7	12.05	1.11e-04
ASCL1	rs11535187	10	12.04	1.13e-04
TCFL5	rs1326286	10	12.04	1.14e-04
FOXD1	rs147378	10	12.04	1.14e-04
KLF3	rs704	10	12.03	1.15e-04
BHLHA15(var.2)	rs7467781	9	12.03	1.15e-04
FOS::JUN	rs7654161	10	12.03	1.15e-04
ZNF384	rs3445410	7	12.03	1.16e-04
ZNF740	rs5634858	8	12.03	1.16e-04
PRDM4	rs731502	10	12.02	1.16e-04
Nkx3-2	rs1141048	8	12.02	1.17e-04
OLIG3	rs225823	7	12.02	1.17e-04
MXI1	rs5852431	7	12.02	1.17e-04
Smad4	rs1710501	9	12.02	1.18e-04
ZNF263	rs7706518	8	12.02	1.18e-04
FOXL1	rs1158011	9	12.01	1.19e-04
FOXL1	rs3484537	8	12.01	1.19e-04
FOXL1	rs221538	10	12.01	1.19e-04
TCFL5	rs794310	7	12.01	1.19e-04
Twist2	rs1233514	9	12.01	1.19e-04
PITX3	rs1040816	9	12.01	1.20e-04
Arid3b	rs11462500	10	12.00	1.20e-04
ATOH1(var.2)	rs11535187	10	12.00	1.21e-04
PROP1	rs8024019	10	11.99	1.22e-04
STAT3	rs1244043	7	11.99	1.22e-04
FOXH1	rs714401	8	11.99	1.22e-04
ETV6	rs90437	8	11.99	1.23e-04
Mafb	rs53880	8	11.98	1.24e-04
LHX5	rs2899880	8	11.98	1.25e-04
ZKSCAN5	rs223790	7	11.97	1.28e-04
FOXG1	rs3484537	8	11.96	1.28e-04
NFAT5	rs2840827	9	11.96	1.29e-04
SOX4	rs7406426	10	11.96	1.29e-04
SPIC	rs939457	7	11.96	1.30e-04
PAX4	rs985720	10	11.95	1.30e-04
PAX4	rs3523367	8	11.95	1.30e-04
FOXA3	rs5581270	9	11.95	1.30e-04
PITX1	rs702280	8	11.95	1.31e-04
ELF5	rs649660	8	11.95	1.32e-04
HESX1	rs1260358	8	11.94	1.33e-04
HESX1	rs3523367	9	11.94	1.34e-04
MEOX1	rs2899880	9	11.93	1.36e-04
KLF14	rs8014713	7	11.92	1.37e-04
INSM1	rs206682	8	11.92	1.38e-04
FOXA3	rs11520271	9	11.91	1.38e-04
POU6F1	rs1003446	9	11.91	1.39e-04
BHLHA15(var.2)	rs125011	8	11.91	1.40e-04
TLX2	rs691950	10	11.91	1.40e-04
ASCL1	rs44879	10	11.90	1.41e-04
ETV4	rs702791	9	11.90	1.41e-04
RAX	rs1292002	8	11.90	1.42e-04
SNAI1	rs79966	10	11.89	1.43e-04
NR5A1	rs681319	10	11.89	1.44e-04
RBPJ	rs477164	10	11.89	1.44e-04
RBPJ	rs777816	10	11.89	1.45e-04
POU6F1	rs1075039	10	11.88	1.45e-04
FOXA2	rs147378	8	11.88	1.46e-04
MSANTD3	rs991223	8	11.87	1.47e-04
TBX2	rs602638	10	11.87	1.47e-04
SOX14	rs1170911	9	11.87	1.49e-04
ZNF341	rs19979527	8	11.86	1.51e-04
Ascl2	rs44879	10	11.86	1.51e-04
MXI1	rs680615	8	11.85	1.52e-04
NKX2-8	rs228315	10	11.85	1.53e-04
RFX1	rs268841	7	11.85	1.54e-04
Foxj2	rs59590	8	11.84	1.55e-04
BHLHA15(var.2)	rs776607	9	11.84	1.56e-04
Bhlha15	rs7305430	7	11.83	1.57e-04
Bhlha15	rs27793	8	11.83	1.57e-04
Bhlha15	rs804268	9	11.83	1.58e-04
Bhlha15	rs208831	10	11.83	1.58e-04
ETV4	rs101371	9	11.83	1.59e-04
ARGFX	rs1292002	8	11.82	1.60e-04
SOX10	rs7406426	9	11.81	1.61e-04
OLIG3	rs1715140	7	11.81	1.61e-04
ATOH7	rs1233514	9	11.81	1.63e-04
Ascl2	rs947079	10	11.81	1.63e-04
Shox2	rs985720	10	11.81	1.64e-04
Shox2	rs3523367	8	11.81	1.64e-04
FOXP1	rs5581270	9	11.81	1.64e-04
Arid3b	rs813454	8	11.80	1.65e-04
EMX1	rs2899880	8	11.80	1.65e-04
HOXD8	rs2899880	8	11.80	1.66e-04
EMX1	rs691950	10	11.79	1.67e-04
MEF2B	rs19022584	7	11.79	1.68e-04
ZEB1	rs44879	10	11.79	1.68e-04
